scaffold	markerid	gene	Superkingdom	Phylum	Class	Order	Family	Genus	Species
contig-100_47406	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens
contig-100_4741	NA	NA	Eukaryota	Chordata	Actinopteri	Characiformes	Characidae	Astyanax	Astyanax mexicanus
contig-100_4746	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
contig-100_475	NA	NA	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Thermaerobacter	Thermaerobacter marianensis
contig-100_47537	NA	NA	Eukaryota	Arthropoda	Insecta	Hymenoptera	Agaonidae	Ceratosolen	Ceratosolen solmsi
contig-100_47581	NA	NA	Eukaryota	Chordata	Mammalia	Dermoptera	Cynocephalidae	Galeopterus	Galeopterus variegatus
contig-100_476	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio desulfuricans
contig-100_4764	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Marichromatium	Marichromatium purpuratum
contig-100_4770	NA	NA	Bacteria	(unassigned)	(unassigned)	(unassigned)	(unassigned)	(unassigned)	uncultured bacterium
contig-100_47713	NA	NA	Eukaryota	Chordata	Mammalia	(unassigned)	Tenrecidae	Echinops	Echinops telfairi
contig-100_4773	NA	NA	Eukaryota	Nematoda	Chromadorea	Ascaridida	Anisakidae	Anisakis	Anisakis simplex
contig-100_47742	NA	NA	Eukaryota	Porifera	Demospongiae	Hadromerida	Suberitidae	Suberites	Suberites ficus
contig-100_47764	NA	NA	Eukaryota	Chordata	Mammalia	Cingulata	Dasypodidae	Dasypus	Dasypus novemcinctus
contig-100_4796	NA	NA	Eukaryota	Chordata	Aves	Trogoniformes	Trogonidae	Apaloderma	Apaloderma vittatum
contig-100_4797	NA	NA	Eukaryota	Echinodermata	Echinoidea	Echinoida	Strongylocentrotidae	Strongylocentrotus	Strongylocentrotus purpuratus
contig-100_47977	NA	NA	Eukaryota	Nematoda	Enoplea	(unassigned)	Soboliphymatidae	Soboliphyme	Soboliphyme baturini
contig-100_48	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Kofleriaceae	Haliangium	Haliangium ochraceum
contig-100_48134	NA	NA	Eukaryota	(unassigned)	(unassigned)	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
contig-100_48137	NA	NA	Eukaryota	Chordata	Mammalia	Primates	Hylobatidae	Nomascus	Nomascus leucogenys
contig-100_48146	NA	NA	Eukaryota	Hemichordata	Enteropneusta	(unassigned)	Harrimaniidae	Saccoglossus	Saccoglossus kowalevskii
contig-100_48184	NA	NA	Eukaryota	Nematoda	Chromadorea	Rhabditida	Heligmosomatidae	Heligmosomoides	Heligmosomoides polygyrus
contig-100_48205	NA	NA	Eukaryota	Chordata	Aves	Musophagiformes	Musophagidae	Tauraco	Tauraco erythrolophus
contig-100_4821	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio desulfuricans
contig-100_48267	NA	NA	Eukaryota	Chordata	Aves	Piciformes	Picidae	Picoides	Picoides pubescens
contig-100_4827	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus	Thioflavicoccus mobilis
contig-100_48278	NA	NA	Eukaryota	Chordata	Actinopteri	Beloniformes	Adrianichthyidae	Oryzias	Oryzias latipes
contig-100_48280	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio thiocyanoxidans
contig-100_483	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus oleovorans
contig-100_48312	NA	NA	Eukaryota	Arthropoda	Insecta	Coleoptera	Curculionidae	Dendroctonus	Dendroctonus ponderosae
contig-100_48328	NA	NA	Eukaryota	Arthropoda	Arachnida	Ixodida	Ixodidae	Ixodes	Ixodes scapularis
contig-100_4833	NA	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio sulfidiphilus
contig-100_484	NA	NA	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	(unassigned)	Methylibium	Methylibium petroleiphilum
contig-100_4842	NA	NA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacterium	Desulfobacterium autotrophicum
contig-100_48474	NA	NA	Eukaryota	Nematoda	Chromadorea	Rhabditida	Alloionematidae	Rhabditophanes	Rhabditophanes sp. KR3021
contig-100_48625	NA	NA	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	[Clostridium] clariflavum
contig-100_48630	NA	NA	Eukaryota	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus
